,event_type,log_feature,volume,resource_type,severity_type
0,event_type 11,feature 273,2,resource_type 8,severity_type 1
1,event_type 43,feature 291,4,resource_type 2,severity_type 1
2,event_type 35,feature 232,7,resource_type 2,severity_type 2
3,event_type 35,feature 313,8,resource_type 2,severity_type 2
4,event_type 11,feature 191,2,resource_type 8,severity_type 1
5,event_type 34,feature 314,57,resource_type 2,severity_type 2
6,event_type 5,feature 203,14,resource_type 1,severity_type 1
7,event_type 18,feature 345,1,resource_type 8,severity_type 1
8,event_type 34,feature 307,2,resource_type 2,severity_type 2
9,event_type 14,feature 163,4,resource_type 2,severity_type 1
10,event_type 18,feature 68,1,resource_type 6,severity_type 1
11,event_type 11,feature 273,6,resource_type 6,severity_type 1
12,event_type 11,feature 204,2,resource_type 8,severity_type 1
13,event_type 35,feature 232,6,resource_type 2,severity_type 2
14,event_type 34,feature 227,1,resource_type 2,severity_type 2
15,event_type 34,feature 312,3,resource_type 2,severity_type 2
16,event_type 14,feature 54,21,resource_type 8,severity_type 1
17,event_type 42,feature 375,3,resource_type 2,severity_type 1
18,event_type 18,feature 87,4,resource_type 6,severity_type 1
19,event_type 34,feature 313,2,resource_type 2,severity_type 2
20,event_type 22,feature 30,2,resource_type 8,severity_type 1
21,event_type 11,feature 71,3,resource_type 8,severity_type 1
22,event_type 34,feature 229,3,resource_type 2,severity_type 2
23,event_type 15,feature 80,4,resource_type 8,severity_type 1
24,event_type 34,feature 228,6,resource_type 2,severity_type 2
25,event_type 11,feature 68,1,resource_type 8,severity_type 1
26,event_type 34,feature 307,3,resource_type 2,severity_type 2
27,event_type 23,feature 306,1,resource_type 7,severity_type 1
28,event_type 34,feature 278,1,resource_type 2,severity_type 1
29,event_type 35,feature 232,36,resource_type 2,severity_type 2
30,event_type 13,feature 68,2,resource_type 6,severity_type 1
31,event_type 35,feature 309,5,resource_type 2,severity_type 2
32,event_type 15,feature 82,2,resource_type 8,severity_type 2
33,event_type 42,feature 283,5,resource_type 2,severity_type 1
34,event_type 44,feature 283,1,resource_type 2,severity_type 1
35,event_type 34,feature 315,4,resource_type 2,severity_type 2
36,event_type 35,feature 312,2,resource_type 2,severity_type 2
37,event_type 35,feature 310,1,resource_type 2,severity_type 2
38,event_type 34,feature 235,1,resource_type 2,severity_type 2
39,event_type 11,feature 167,1,resource_type 8,severity_type 1
40,event_type 35,feature 95,2,resource_type 2,severity_type 1
41,event_type 34,feature 312,1,resource_type 2,severity_type 2
42,event_type 26,feature 212,1,resource_type 2,severity_type 1
43,event_type 11,feature 134,1,resource_type 2,severity_type 1
44,event_type 23,feature 345,1,resource_type 6,severity_type 1
45,event_type 34,feature 181,1,resource_type 8,severity_type 1
46,event_type 34,feature 278,2,resource_type 8,severity_type 1
47,event_type 34,feature 307,1,resource_type 2,severity_type 2
48,event_type 34,feature 314,4,resource_type 2,severity_type 2
49,event_type 34,feature 232,11,resource_type 2,severity_type 2
